length,tempo,timeSinceRelease,releaseMonth,artists,names,popularity
178520,196.0,860,1,Morgan Wallen,Wasted On You,86
239845,92.491,706,6,Peso Pluma,Por las Noches,93
226466,105.02,524,12,Tory Lanez,The Color Violet,89
242965,145.887,622,9,Drake,Knife Talk (with 21 Savage ft. Project Pat),84
216573,126.019,860,1,Morgan Wallen,More Than My Hometown,81
252262,134.093,615,9,Baby Keem,family ties (with Kendrick Lamar),83
167480,177.945,727,5,Jordan Davis,Buy Dirt,82
192956,136.006,804,3,Drake,Wants and Needs (feat. Lil Baby),83
291175,167.937,622,9,Drake,Fair Trade (with Travis Scott),86
163025,131.443,531,12,Nicky Youre,Sunroof,88
202133,69.877,860,1,Morgan Wallen,Sand In My Boots,80
613026,93.023,552,11,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),85
293706,128.01,860,1,Morgan Wallen,Cover Me Up,80
147062,179.626,733,5,Surf Curse,Freaks,86
131500,96.552,643,8,ame,raining for hours,84
210506,203.903,860,1,Morgan Wallen,7 Summers,79
220433,140.061,608,9,Taylor Swift,Wildest Dreams (Taylor's Version),85
178146,166.928,727,5,Olivia Rodrigo,good 4 u,86
165925,81.039,706,6,Polo G,RAPSTAR,82
185280,110.074,860,1,Morgan Wallen,This Bar,78
218801,140.021,734,5,J. Cole,m y . l i f e (with 21 Savage & Morray),80
98544,125.605,580,10,PinkPantheress,Pain,82
123986,80.511,715,6,Sleepy Hallow,2055,82
160052,138.016,615,9,Yeat,Monëy so big,81
298899,81.055,657,7,Billie Eilish,Happier Than Ever,87
207853,141.02,566,10,Ed Sheeran,Shivers,88
229226,100.607,727,5,Olivia Rodrigo,traitor,87
221520,84.08,587,10,Cody Johnson,Human,77
153190,153.96,790,3,Justin Bieber,Ghost,88
232093,86.041,608,9,Jelly Roll,Son Of A Sinner,77
215506,180.917,727,5,Olivia Rodrigo,deja vu,86
231124,130.033,769,4,Taylor Swift,You Belong With Me (Taylor’s Version),84
142839,175.014,539,11,INTERWORLD,METAMORPHOSIS,89
172626,107.998,692,6,Doja Cat,Woman,87
152666,172.929,727,5,Olivia Rodrigo,favorite crime,85
588139,140.223,692,6,"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),80
180379,157.905,720,5,Cochise,Tell Em,81
156040,94.03,615,9,Baby Keem,16,79
236524,150.062,748,4,DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),78
235766,119.082,825,2,Taylor Swift,Love Story (Taylor’s Version),82
195120,159.488,532,12,The Rare Occasions,Notion,82
243136,161.032,769,4,Taylor Swift,The Way I Loved You (Taylor’s Version),84
242013,143.875,727,5,Olivia Rodrigo,drivers license,86
241591,100.118,769,4,Taylor Swift,Fearless (Taylor’s Version),80
177720,101.358,624,9,Stephen Sanchez,Until I Found You,86
224213,160.087,587,10,Cody Johnson,'Til You Can't,76
141805,169.928,678,7,The Kid LAROI,STAY (with Justin Bieber),87
121572,142.347,692,6,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),78
230746,126.011,566,10,Ed Sheeran,Bad Habits,87
210560,130.041,692,6,Doja Cat,Need to Know,82
154983,119.976,727,5,Marshmello,Leave Before You Love Me (with Jonas Brothers),85
186173,128.986,692,6,Doja Cat,You Right,83
180742,115.962,783,3,AJR,World's Smallest Violin,73
174253,124.097,692,6,Doja Cat,Ain't Shit,80
208666,110.97,692,6,Doja Cat,Kiss Me More (feat. SZA),82
173160,163.929,727,5,Olivia Rodrigo,"jealousy, jealousy",83
160656,110.054,601,9,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),79
205458,104.949,776,4,Lil Tjay,Calling My Phone,81
133762,119.614,622,9,Drake,Yebba’s Heartbreak,80
206710,179.951,713,6,Bad Bunny,Yonaguni,85
123870,77.444,629,8,Lil Tecca,LOT OF ME,77
245026,137.915,861,1,Taylor Swift,right where you left me - bonus track,79
257604,136.008,622,9,Drake,Way 2 Sexy (with Future & Young Thug),78
186017,141.961,707,6,Yeat,Sorry Bout That,78
141805,169.928,660,7,The Kid LAROI,STAY (with Justin Bieber),86
214148,159.892,636,8,Ivan Cornejo,Está Dañada,77
161773,136.967,860,1,Morgan Wallen,Somebody’s Problem,74
120428,131.883,566,10,Kxllswxtch,WASTE,82
242096,148.088,553,11,Bruno Mars,Leave The Door Open,83
252069,134.14,629,8,Baby Keem,family ties (with Kendrick Lamar),78
171880,105.007,608,9,Scotty McCreery,It Matters To Her,74
138293,91.942,692,6,Doja Cat,Get Into It (Yuh),80
218210,88.967,734,5,J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),77
202735,116.032,643,8,Elton John,Cold Heart - PNAU Remix,86
170858,139.917,783,3,AJR,Bang!,73
191823,146.995,667,7,Cafuné,Tek It,78
175933,168.924,727,5,Olivia Rodrigo,happier,85
194423,128.881,526,12,Mareux,The Perfect Girl,82
287120,130.001,693,6,Farruko,Pepas,84
200547,72.993,565,10,Kodak Black,Super Gremlin,75
235766,119.054,769,4,Taylor Swift,Love Story (Taylor’s Version),80
146000,81.756,632,8,Nature Of Sweden,Slumber Rain,77
190680,88.003,860,1,Morgan Wallen,865,74
143901,87.981,608,9,Lil Nas X,THATS WHAT I WANT,84
336511,86.743,622,9,Drake,Champagne Poetry,78
113600,147.061,559,11,Kay Flock,PSA,77
140983,101.611,503,12,Fuerza Regida,Me Acostumbre A Lo Bueno,79
203373,139.931,818,2,Lainey Wilson,Things A Man Oughta Know,74
219760,154.008,552,11,Taylor Swift,I Knew You Were Trouble (Taylor's Version),79
216120,205.863,545,11,Carolina Gaitán - La Gaita,We Don't Talk About Bruno,77
223992,169.781,510,12,Yng Lvcas,La Bebe,87
140533,91.007,783,3,24kGoldn,Mood (feat. iann dior),83
143746,123.999,727,5,Olivia Rodrigo,brutal,79
232048,120.031,776,4,Lil Tjay,Run It Up (feat. Offset & Moneybagg Yo),79
221979,86.975,622,9,Drake,Girls Want Girls (with Lil Baby),78
231497,133.876,559,11,Summer Walker,No Love (with SZA),78
193146,172.014,552,11,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),80
198081,90.03,790,3,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),84
157779,139.902,615,9,Yeat,Gët Busy,76
227395,99.048,706,6,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),81
228144,87.977,734,5,Chayce Beckham,23,76
147893,119.017,860,1,Morgan Wallen,Dangerous,73
212000,149.995,664,7,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),83
153312,133.417,629,8,Eyedress,Something About You,79
185600,74.967,517,12,Lil Durk,Broadway Girls (feat. Morgan Wallen),73
175935,94.971,790,3,Peso Pluma,La Melena,79
207301,169.888,590,10,Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),83
184000,74.69,727,5,Russ,3:15 (Breathe),80
252021,159.933,783,3,Rod Wave,Street Runner,74
230960,103.984,552,11,Taylor Swift,22 (Taylor's Version),77
163854,140.069,554,11,OneRepublic,Sunshine,82
270670,130.027,615,9,Baby Keem,trademark usa,74
144349,118.0,776,4,Lil Tjay,Headshot (feat. Polo G & Fivio Foreign),76
191226,137.854,608,9,Carly Pearce,What He Didn't Do,73
224694,141.981,581,10,Adele,Easy On Me,84
191013,118.091,755,4,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),83
223093,125.047,552,11,Taylor Swift,Red (Taylor's Version),79
197442,82.03,553,11,Bruno Mars,Smokin Out The Window,78
156746,115.058,860,1,Morgan Wallen,Warning,73
285106,149.654,552,11,Taylor Swift,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),76
218447,106.196,748,4,Joyner Lucas,Ramen & OJ,76
151444,161.74,659,7,Billie Eilish,Happier Than Ever - Edit,81
224694,141.981,545,11,Adele,Easy On Me,84
155737,147.978,590,10,YoungBoy Never Broke Again,Nevada,73
214626,122.004,692,6,Eslabon Armado,Regresa Mami,75
202226,180.088,545,11,Jessica Darrow,Surface Pressure,75
208866,110.968,769,4,Doja Cat,Kiss Me More (feat. SZA),80
132346,96.181,723,5,DVRST,Close Eyes,83
168601,121.932,643,8,GAYLE,abcdefu,84
155125,98.721,692,6,Eslabon Armado,Cuando Tú Me Miras,75
65045,78.089,783,3,YBN Nahmir,Opp Stoppa,73
108373,157.109,580,10,PinkPantheress,I Must Apologise,75
173381,77.011,567,10,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,83
96133,171.788,580,10,PinkPantheress,Break It Off - Bonus,76
258812,101.96,552,11,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),76
245625,119.991,811,2,Elle King,Drunk (And I Don't Wanna Go Home),73
224996,90.02,524,12,Rauw Alejandro,Desesperados,83
143480,149.012,559,11,Key Glock,Ambition For Cash,77
236883,77.006,635,8,Trippie Redd,Miss The Rage (feat. Playboi Carti),76
156367,100.458,727,5,42 Dugg,4 Da Gang (with Roddy Ricch),72
225533,160.333,531,12,Nardo Wick,Me or Sum (feat. Future & Lil Baby),72
148197,120.966,657,7,Lost Frequencies,Where Are You Now,87
164818,117.953,560,11,Tiësto,The Motto,84
136899,136.994,755,4,Moneybagg Yo,Time Today,72
269727,169.994,603,9,Baby Keem,lost souls (with Brent Faiyaz),75
181433,91.436,790,3,Peso Pluma,Lo Que Me Das,77
148421,65.988,734,5,J. Cole,a m a r i,75
178153,129.895,804,3,Drake,What’s Next,74
202735,116.032,573,10,Elton John,Cold Heart - PNAU Remix,72
168227,140.026,615,9,LISA,MONEY,81
173640,82.488,728,5,Tai Verdes,AOK,76
155742,148.153,615,9,Yeat,Turban,74
161384,93.005,660,7,The Kid LAROI,WITHOUT YOU,79
204763,110.02,609,9,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),79
163586,168.884,727,5,Olivia Rodrigo,"1 step forward, 3 steps back",78
237022,147.854,769,4,Taylor Swift,If This Was A Movie (Taylor’s Version),77
157906,163.957,657,7,Parmalee,Take My Name,72
230125,175.896,653,8,Aventura,Volví,81
214405,128.153,503,12,ERNEST,Flower Shops (feat. Morgan Wallen),72
308755,130.019,622,9,Drake,TSU,74
66803,144.118,711,6,Luci4,Dead n Gone,74
110602,75.944,615,9,Yeat,Dëserve it,74
208208,134.019,685,7,Chase Matthew,County Line,71
163156,143.904,699,6,Atlus,You're a Fucking Bitch Hope You Know That Shit,72
137704,178.781,608,9,Lil Nas X,MONTERO (Call Me By Your Name),82
226652,118.029,627,8,Kanye West,Praise God,77
189050,75.576,643,8,Grupo Firme,Ya Supérame (En Vivo),78
212030,184.075,552,11,Jason Aldean,If I Didn't Love You,72
204346,83.737,622,9,Drake,No Friends In The Industry,74
277591,135.942,769,4,Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),76
184489,146.933,832,2,Pooh Shiesty,Back in Blood (feat. Lil Durk),72
146844,157.026,804,3,Only The Family,Hellcats & Trackhawks,71
234761,72.38,657,7,Billie Eilish,Halley's Comet,78
178131,174.073,643,8,$uicideboy$,Ugliest,72
202826,88.485,727,5,Olivia Rodrigo,enough for you,77
212352,150.087,608,9,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),80
164571,139.922,527,12,Hotel Ugly,Stevie Doesn't Wonder,74
173182,106.017,601,9,Latto,Big Energy,74
193506,97.014,559,11,Post Malone,One Right Now (with The Weeknd),79
160078,84.448,783,3,Rod Wave,Tombstone,71
111483,77.487,580,10,SleazyWorld Go,Sleazy Flow,71
173346,132.507,790,3,Måneskin,I WANNA BE YOUR SLAVE,84
156091,162.351,627,8,Kanye West,Moon,75
67638,114.21,678,7,PinkPantheress,Attracted to You,74
184213,129.915,678,7,Post Malone,Motley Crew,77
136572,113.886,615,9,Baby Keem,vent,73
149461,167.077,526,12,SXMPRA,COWBELL WARRIOR!,79
225148,88.098,545,11,Adele,Oh My God,81
181688,73.779,660,7,The Kid LAROI,GO (feat. Juice WRLD),73
214893,140.017,790,3,Jhené Aiko,stranger,71
279573,75.591,531,12,Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",72
156894,81.486,748,4,NLE Choppa,Final Warning,72
236883,77.005,741,5,Trippie Redd,Miss The Rage (feat. Playboi Carti),75
176253,106.347,692,6,Eslabon Armado,Una Peda,74
200280,121.009,552,11,Taylor Swift,The Very First Night (Taylor's Version) (From The Vault),75
151966,88.894,524,12,Tory Lanez,Lavender Sunflower,76
177386,129.966,685,7,Lil Peep,your favorite dress,75
112546,139.949,699,6,DaBaby,Ball If I Want To,73
257213,141.391,545,11,Stephanie Beatriz,The Family Madrigal,73
103240,174.111,673,7,Ryan Mack,Overwhelmed (Ryan Mack Remix),77
96000,100.095,622,9,CORPSE,HOT DEMON B!TCHES NEAR U ! ! !,73
123506,139.787,707,6,Yeat,Off Tha Lot,73
215693,125.987,762,4,Young Stoner Life,Solid (feat. Drake),73
329160,185.972,552,11,Taylor Swift,All Too Well (Taylor's Version),76
130200,140.221,651,8,Yeat,Mad bout that,72
113429,132.063,566,10,Megan Thee Stallion,Megan's Piano,71
174680,146.028,658,7,Dierks Bentley,Beers On Me,70
211420,100.626,832,2,The Weeknd,Pray For Me,81
174000,106.703,531,12,SZA,I Hate U,74
194666,139.931,818,2,Lainey Wilson,Dirty Looks,70
179720,98.004,616,9,Sam Hunt,23,70
277591,135.937,771,4,Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),76
179426,119.974,545,11,Diane Guerrero,What Else Can I Do?,73
175026,98.997,755,4,Eric Church,Hell Of A View,70
274293,130.08,573,10,Lana Del Rey,Dealer,75
234333,154.78,839,1,Morgan Wallen,Bandaid On A Bullet Hole,70
217426,123.932,671,7,John Mayer,New Light,77
132780,149.996,862,1,Masked Wolf,Astronaut In The Ocean,78
225960,115.915,552,11,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),74
186293,148.108,860,1,Morgan Wallen,Still Goin Down,70
219250,138.024,529,12,The Frequency Shifters,Brown Noise for the Sleep Deprived,73
135417,78.061,783,3,YBN Nahmir,Opp Stoppa (feat. 21 Savage),71
140858,149.996,727,5,$uicideboy$,Avalon,71
151415,145.911,828,2,Rebzyyx,all I want is you,76
239668,144.751,552,11,Taylor Swift,Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),75
106000,120.034,531,12,Polo G,Bad Man (Smooth Criminal),72
173286,104.958,615,9,grentperez,Cherry Wine,74
167626,149.046,531,12,Nardo Wick,Wicked Freestyle,70
214720,138.084,629,8,Niko Moon,GOOD TIME,70
199604,127.949,728,5,Rauw Alejandro,Todo De Ti,81
196730,110.023,657,7,Billie Eilish,Billie Bossa Nova,78
205721,77.837,622,9,Drake,Pipe Down,72
133565,115.005,629,8,Kordhell,Live Another Day,81
228949,195.054,657,7,Peso Pluma,Todo Es Playa,75
245306,131.944,657,7,Parker McCollum,Pretty Heart,69
201016,119.819,741,5,Ashe,Moral of the Story,78
91923,188.37,715,6,Sleepy Hallow,Basketball Dreams (Intro),73
270887,133.85,762,4,Greta Van Fleet,Light My Love,72
159714,104.899,706,6,Black Gryph0n,Insane,75
225328,128.03,769,4,Taylor Swift,Forever & Always (Taylor’s Version),74
231386,110.028,697,6,Maroon 5,Payphone,70
144860,92.057,660,7,The Kid LAROI,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",74
148793,142.043,615,9,Yeat,U could tëll,71
181714,139.988,853,1,DaBaby,Masterpiece,71
194270,143.972,834,2,Bailey Zimmerman,Never Comin' Home,70
196864,107.635,552,11,Grupo Los de la O,Fuga Pa Cali 2,79
269066,76.748,643,8,Laufey,Let You Break My Heart Again,76
178404,105.012,853,1,Ashnikko,Slumber Party (feat. Princess Nokia),76
197333,106.891,755,4,Gera MX,Botella Tras Botella,80
137299,76.991,615,9,Yeat,Swërved It,73
124513,143.839,559,11,Kay Flock,Is Ya Ready,72
155883,94.018,861,1,Saweetie,Best Friend (feat. Doja Cat),74
183594,114.196,552,11,Edgardo Nuñez,El Ruddy,75
153337,113.326,678,7,Kane Brown,Memory,71
162802,124.917,853,1,Travis Scott,Goosebumps - Remix,81
102860,126.027,573,10,Matt Sassari,Give It To Me - Full Vocal Mix,85
171333,174.079,748,4,Thomas Rhett,What’s Your Country Song,70
279853,75.575,587,10,Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",70
245426,79.918,552,11,Taylor Swift,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),75
243264,137.048,552,11,Taylor Swift,Eyes Open (Taylor's Version),74
175124,140.277,720,5,Los Del Limit,Amor Fugaz,74
144535,161.104,553,11,siouxxie sixxsta,masquerade,74
165066,129.011,580,10,Young Thug,Bubbly (with Drake & Travis Scott),72
126521,142.592,660,7,The Kid LAROI,SO DONE,74
210373,142.031,860,1,Morgan Wallen,Me On Whiskey,69
155292,173.456,692,6,"Tyler, The Creator",HOT WIND BLOWS (feat. Lil Wayne),71
157355,81.535,853,1,Juice WRLD,Bad Boy (with Young Thug),71
243187,80.009,627,8,Kanye West,Hurricane,74
169613,111.001,860,1,Morgan Wallen,Heartless - Wallen Album Mix,69
219760,154.008,552,11,Taylor Swift,I Knew You Were Trouble (Taylor's Version),75
126586,105.989,581,10,Mike Sherm,Baby,68
149360,143.968,685,7,Lil Peep,witchblades,74
139311,130.987,707,6,Yeat,Money Twërk,71
145634,166.061,552,11,EKKSTACY,i walk this earth all by myself,75
281100,99.723,811,2,Alta Elegancia,Amor,74
127807,116.161,797,3,Giveon,All To Me,73
247714,77.497,635,8,Trippie Redd,Rich MF (feat. Polo G & Lil Durk),70
84138,117.052,666,7,KSLV Noh,Disaster,78
193880,90.048,657,7,Parmalee,Just the Way,70
170232,129.957,702,6,DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,73
234515,185.262,769,4,Taylor Swift,White Horse (Taylor’s Version),73
146523,121.876,853,1,Ashnikko,Daisy,73
196706,150.058,860,1,Morgan Wallen,Only Thing That’s Gone (feat. Chris Stapleton),69
228922,111.008,671,7,Clairo,Amoeba,72
193260,132.889,752,4,ENHYPEN,Drunk-Dazed,78
156266,179.99,832,2,Calibre 50,A La Antigüita,79
189408,133.309,818,2,Marca MP,Ya Acabo,76
224920,137.956,860,1,Morgan Wallen,Silverado For Sale,68
193733,174.185,580,10,Benson Boone,GHOST TOWN,78
156944,166.0,833,2,Cardi B,Up,73
193993,134.985,524,12,Tory Lanez,Lady Of Namek,73
209883,98.026,617,9,Rvssian,Nostálgico,79
176208,115.147,637,8,Tito Torbellino Jr,El Vago De Los Nike,75
226220,86.782,664,7,Yung Bleu,You're Mines Still (feat. Drake),72
156944,166.0,832,2,Cardi B,Up,73
244000,171.319,861,1,Taylor Swift,champagne problems,73
130774,120.04,680,7,BigXthaPlug,Big Stepper,68
299970,127.049,706,6,Pi’erre Bourne,Drunk And Nasty (feat. Sharc),72
89616,85.924,755,4,Moneybagg Yo,Love It Here,70
169565,91.948,643,8,$uicideboy$,5 Grand at 8 to 1,69
206108,140.015,783,3,AJR,Way Less Sad,67
140858,149.992,643,8,$uicideboy$,Avalon,69
339249,137.728,627,8,Kanye West,Off The Grid,73
181106,175.93,604,9,KAROL G,SEJODIOTO,78
149610,154.12,559,11,Travis Scott,ESCAPE PLAN,75
211200,125.147,531,12,DJ Snake,U Are My High (with Future),72
115347,139.987,570,10,KANKAN,Wokeup,71
164705,102.101,524,12,Rauw Alejandro,Cúrame,80
83421,160.006,707,6,Bo Burnham,Look Who’s Inside Again,72
228000,104.988,601,9,Coldplay,My Universe,83
294419,95.466,769,4,Taylor Swift,Fifteen (Taylor’s Version),73
166023,136.0,755,4,keshi,beside you,77
213753,118.925,694,6,TALK,Run Away to Mars,75
225813,81.98,713,6,Brett Young,You Didn’t,69
209560,77.253,727,5,Olivia Rodrigo,hope ur ok,74
171384,115.016,548,11,Hensonn,Sahara,80
146419,142.034,692,6,"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),71
174432,111.879,750,4,Los Gemelos De Sinaloa,Si Me Ven,72
240906,122.907,616,9,LeeHi,ONLY,78
148732,79.973,517,12,Halsey,Could Have Been Me,73
148808,141.957,664,7,Ken Carson,Rock N Roll,71
203384,180.104,713,6,Madison Beer,Reckless,82
224996,90.02,523,12,Rauw Alejandro,Desesperados,80
205714,139.94,608,9,late night drive home,Stress Relief,71
